MetricSet	SymbolName	ShortName	Group	LongName
Ext6	GPU_MEMORY_BYTE_READ_SQIDI1	GPU Memory Byte Read Sqidi1	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI2	GPU Memory Byte Read Sqidi2	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI3	GPU Memory Byte Read Sqidi3	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI4	GPU Memory Byte Read Sqidi4	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI5	GPU Memory Byte Read Sqidi5	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI6	GPU Memory Byte Read Sqidi6	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI7	GPU Memory Byte Read Sqidi7	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI8	GPU Memory Byte Read Sqidi8	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI9	GPU Memory Byte Read Sqidi9	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI10	GPU Memory Byte Read Sqidi10	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
Ext6	GPU_MEMORY_BYTE_READ_SQIDI11	GPU Memory Byte Read Sqidi11	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
