MetricSet	SymbolName	ShortName	Group	LongName
Geometry1	STREAMOUT_OUTPUT_VERTEX_COUNT_SLICE2	Streamout Output Vertex Count Slice2	Geometry	Number of vertices written by SOL
Geometry1	STREAMOUT_OUTPUT_VERTEX_COUNT_SLICE3	Streamout Output Vertex Count Slice3	Geometry	Number of vertices written by SOL
Geometry2	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Geometry2	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Geometry2	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Geometry2	VERTEX_FETCH_INPUT_AVAILABLE_SLICE0	Vertex Fetch Input Available Slice0	Geometry	Percentage of time in which Vertex Fetch input is available
Geometry2	VERTEX_FETCH_INPUT_AVAILABLE_SLICE1	Vertex Fetch Input Available Slice1	Geometry	Percentage of time in which Vertex Fetch input is available
Geometry2	VERTEX_FETCH_INPUT_AVAILABLE_SLICE2	Vertex Fetch Input Available Slice2	Geometry	Percentage of time in which Vertex Fetch input is available
Geometry2	VERTEX_FETCH_INPUT_AVAILABLE_SLICE3	Vertex Fetch Input Available Slice3	Geometry	Percentage of time in which Vertex Fetch input is available
Geometry2	VERTEX_FETCH_OUTPUT_READY_SLICE0	Vertex Fetch Output Ready Slice0	Geometry	Percentage of time in which Vertex Fetch output is ready
Geometry2	VERTEX_FETCH_OUTPUT_READY_SLICE1	Vertex Fetch Output Ready Slice1	Geometry	Percentage of time in which Vertex Fetch output is ready
Geometry2	VERTEX_FETCH_OUTPUT_READY_SLICE2	Vertex Fetch Output Ready Slice2	Geometry	Percentage of time in which Vertex Fetch output is ready
Geometry2	VERTEX_FETCH_OUTPUT_READY_SLICE3	Vertex Fetch Output Ready Slice3	Geometry	Percentage of time in which Vertex Fetch output is ready
Geometry2	CLIPPER_INPUT_AVAILABLE_SLICE0	Clipper Input Available Slice0	Geometry	Percentage of time in which Clipper has input available (from Vertex Shader or SOL)
Geometry2	CLIPPER_INPUT_AVAILABLE_SLICE1	Clipper Input Available Slice1	Geometry	Percentage of time in which Clipper has input available (from Vertex Shader or SOL)
Geometry2	CLIPPER_INPUT_AVAILABLE_SLICE2	Clipper Input Available Slice2	Geometry	Percentage of time in which Clipper has input available (from Vertex Shader or SOL)
Geometry2	CLIPPER_INPUT_AVAILABLE_SLICE3	Clipper Input Available Slice3	Geometry	Percentage of time in which Clipper has input available (from Vertex Shader or SOL)
Geometry2	CLIPPER_OUTPUT_READY_SLICE0	Clipper Output Ready Slice0	Geometry	Percentage of time in which Clipper output ready
Geometry2	CLIPPER_OUTPUT_READY_SLICE1	Clipper Output Ready Slice1	Geometry	Percentage of time in which Clipper output ready
Geometry2	CLIPPER_OUTPUT_READY_SLICE2	Clipper Output Ready Slice2	Geometry	Percentage of time in which Clipper output ready
Geometry2	CLIPPER_OUTPUT_READY_SLICE3	Clipper Output Ready Slice3	Geometry	Percentage of time in which Clipper output ready
Geometry3	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Geometry3	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Geometry3	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Geometry3	STRIPSFAN_OUTPUT_READY_SLICE0	Stripsfan Output Ready Slice0	Geometry	Percentage of time in which in which geometry pipeline output is ready
Geometry3	STRIPSFAN_OUTPUT_READY_SLICE1	Stripsfan Output Ready Slice1	Geometry	Percentage of time in which in which geometry pipeline output is ready
Geometry3	STRIPSFAN_OUTPUT_READY_SLICE2	Stripsfan Output Ready Slice2	Geometry	Percentage of time in which in which geometry pipeline output is ready
Geometry3	STRIPSFAN_OUTPUT_READY_SLICE3	Stripsfan Output Ready Slice3	Geometry	Percentage of time in which in which geometry pipeline output is ready
Geometry3	VS_OUTPUT_READY_SLICE0	VS Output Ready Slice0	Geometry	Percentage of time in which Vertex Shader output is ready
Geometry3	VS_OUTPUT_READY_SLICE1	VS Output Ready Slice1	Geometry	Percentage of time in which Vertex Shader output is ready
Geometry3	VS_OUTPUT_READY_SLICE2	VS Output Ready Slice2	Geometry	Percentage of time in which Vertex Shader output is ready
Geometry3	VS_OUTPUT_READY_SLICE3	VS Output Ready Slice3	Geometry	Percentage of time in which Vertex Shader output is ready
Geometry3	CLIPPER_PRIMITIVE_CULL_SLICE0	Clipper Primitive Cull Slice0	Geometry	Number of Clipper early cull primitives
Geometry3	CLIPPER_PRIMITIVE_CULL_SLICE1	Clipper Primitive Cull Slice1	Geometry	Number of Clipper early cull primitives
Geometry3	CLIPPER_PRIMITIVE_CULL_SLICE2	Clipper Primitive Cull Slice2	Geometry	Number of Clipper early cull primitives
Geometry3	CLIPPER_PRIMITIVE_CULL_SLICE3	Clipper Primitive Cull Slice3	Geometry	Number of Clipper early cull primitives
